Relatório de linhas por arquivo e por módulo
Gerado em: 2026-01-19T16:00:36.015738
Raiz do repositório: c:\xampp\htdocs\ImproovWeb
Arquivos considerados (ignora .gitignore quando há Git): 645
Total de arquivos: 645  Total de linhas: 189605

Ranking de módulos por linhas:
188. FollowUp/script.js             —      173 linhas  /     1 arquivos
189. Imagens/index.php              —      172 linhas  /     1 arquivos
190. css/modalNotificacoes.css      —      170 linhas  /     1 arquivos
191. scripts/replace_imagem_nome.php —      169 linhas  /     1 arquivos
192. Render/ajax.php                —      168 linhas  /     1 arquivos
193. css/styleComercial.css         —      167 linhas  /     1 arquivos
194. Alteracao/index.php            —      166 linhas  /     1 arquivos
195. ML/doc/metric_tempo_R00.md     —      166 linhas  /     1 arquivos
196. Dashboard/briefing_arquivos_get.php —      165 linhas  /     1 arquivos
197. Projetos/style.css             —      164 linhas  /     1 arquivos
198. scripts/lines_report.py        —      163 linhas  /     1 arquivos
199. Pagamento/getResumo.php        —      163 linhas  /     1 arquivos
200. uploadAcompanhamento.php       —      163 linhas  /     1 arquivos
201. review/teste/script.js         —      162 linhas  /     1 arquivos
202. Obras/historico_pdf.php        —      161 linhas  /     1 arquivos
203. flow-radar.php                 —      160 linhas  /     1 arquivos
204. script/scriptEditCliente.js    —      160 linhas  /     1 arquivos
205. ScriptArquivos/revisar.php     —      159 linhas  /     1 arquivos
206. notificacoes/enviarSlackPendentes.php —      159 linhas  /     1 arquivos
207. conexaoMain.php                —      158 linhas  /     1 arquivos
208. ControleComercial/script.js    —      157 linhas  /     1 arquivos
209. CHANGELOG/Flow/Notificacoes-Lembretes.md —      156 linhas  /     1 arquivos
210. GANTT/tabela.php               —      156 linhas  /     1 arquivos
211. CHANGELOG/Flow/imagens.html    —      155 linhas  /     1 arquivos
212. Producao/index.php             —      155 linhas  /     1 arquivos
213. GANTT/index.php                —      154 linhas  /     1 arquivos
214. Calendario/index.php           —      153 linhas  /     1 arquivos
215. Pagamento/dry_run_updateStatusPagamento.php —      153 linhas  /     1 arquivos
216. Dashboard/addRevisao.php       —      152 linhas  /     1 arquivos
217. Planner/index.php              —      152 linhas  /     1 arquivos
218. Revisao/salvar_comentario.php  —      152 linhas  /     1 arquivos
219. SOE/data/forecast_calc.php     —      152 linhas  /     1 arquivos
220. CHANGELOG/Flow/suporte.html    —      151 linhas  /     1 arquivos
221. Dashboard/scriptAddClienteObra.js —      151 linhas  /     1 arquivos
222. FlowReferencias/index.php      —      151 linhas  /     1 arquivos
223. addRender.php                  —      151 linhas  /     1 arquivos
224. PainelProducao/index.php       —      149 linhas  /     1 arquivos
225. SOE/tests/assets/status_dashboard.css —      149 linhas  /     1 arquivos
226. FlowReview/solicitar_refazer_angulos.php —      148 linhas  /     1 arquivos
227. GANTT/atualizar_datas.php      —      148 linhas  /     1 arquivos
228. GANTT/teste.php                —      148 linhas  /     1 arquivos
229. Dashboard/addClienteObra.css   —      145 linhas  /     1 arquivos
230. ControleComercial/index.php    —      144 linhas  /     1 arquivos
231. Projetos/index.php             —      144 linhas  /     1 arquivos
232. ScriptArquivos/index.php       —      143 linhas  /     1 arquivos
233. scripts/lines_report.php       —      142 linhas  /     1 arquivos
234. Dashboard/controle_comercial.html —      142 linhas  /     1 arquivos
235. Metas/script.js                —      141 linhas  /     1 arquivos
236. Revisao/historico2.php         —      141 linhas  /     1 arquivos
237. Relatorio/script.js            —      140 linhas  /     1 arquivos
238. css/styleEditClientes.css      —      140 linhas  /     1 arquivos
